#   wl        direct       diffuse (W/m^2/mic)
0.2500     0.0000000     0.0000000
0.2525     0.0000000     0.0000000
0.2550     0.0000000     0.0000000
0.2575     0.0000000     0.0000000
0.2600     0.0000000     0.0000000
0.2625     0.0000000     0.0000000
0.2650     0.0000000     0.0000000
0.2675     0.0000000     0.0000000
0.2700     0.0000000     0.0000000
0.2725     0.0000000     0.0000000
0.2750     0.0000000     0.0000000
0.2775     0.0000000     0.0000000
0.2800     0.0000000     0.0000000
0.2825     0.0000000     0.0000000
0.2850     0.0000000     0.0000000
0.2875     0.0000000     0.0000000
0.2900     0.0000000     0.0000000
0.2925     0.0000133     0.0000750
0.2950     0.0008348     0.0043347
0.2975     0.0164652     0.0791541
0.3000     0.1574164     0.7023000
0.3025     0.8638822     3.5849903
0.3050     2.4155295     9.3443785
0.3075     5.9248862    21.4101257
0.3100    11.0397511    37.3380661
0.3125    20.4374638    64.8163223
0.3150    29.3004017    87.2908096
0.3175    41.4181099   116.1073990
0.3200    52.0890045   137.6238098
0.3225    65.7081833   163.8767700
0.3250    77.8720398   183.6000824
0.3275    92.7104416   206.9329529
0.3300   106.4596634   225.2610626
0.3325   112.5741959   226.1031342
0.3350   117.6799622   224.6369171
0.3375   127.2621994   231.1602020
0.3400   136.8361359   236.7846985
0.3425   140.0404358   231.1167603
0.3450   143.0445862   225.3946228
0.3475   152.6765900   229.9280243
0.3500   162.6280823   234.3153076
0.3525   173.4199371   239.2840271
0.3550   184.4444885   243.9501343
0.3575   181.4987030   230.3183441
0.3600   177.9229279   216.8172150
0.3625   202.5452728   237.2288361
0.3650   228.2074585   257.1137085
0.3675   239.3483124   259.6168518
0.3700   250.7039337   262.0106506
0.3725   239.2165527   241.0705261
0.3750   226.8810883   220.6369324
0.3775   245.4798889   230.5408173
0.3800   264.6081238   240.1622009
0.3825   242.9181061   213.2271118
0.3850   220.0780029   186.9586487
0.3875   252.1637268   207.4614105
0.3900   285.2465210   227.4338684
0.3925   262.4164124   202.9060364
0.3950   238.5281830   178.9768524
0.3975   333.1168213   247.1166077
0.4000   430.6689148   316.0551758
0.4025   442.2460632   315.5537415
0.4050   453.8734131   315.0653687
0.4075   468.9308167   317.0688171
0.4100   484.1323242   319.0413818
0.4125   502.2069397   322.7446594
0.4150   520.4917603   326.3890991
0.4175   517.7119751   316.9598083
0.4200   514.5679321   307.7503052
0.4225   517.6223145   302.6780701
0.4250   520.4885254   297.7356262
0.4275   496.9363708   278.0669861
0.4300   472.5612183   258.8033447
0.4325   518.9760742   278.4086304
0.4350   566.2077637   297.6893311
0.4375   577.1858521   297.5646362
0.4400   588.1694336   297.4875488
0.4425   617.2090454   306.6033325
0.4450   646.6107788   315.6329346
0.4475   674.5082397   323.5045776
0.4500   702.7703247   331.3392944
0.4525   702.9522705   326.0538025
0.4550   702.8264771   320.8646545
0.4575   711.8900757   319.8519287
0.4600   720.9029541   318.9176025
0.4625   721.4986572   314.7790833
0.4650   722.7769775   311.1272278
0.4675   724.2513428   307.6475830
0.4700   724.7622681   303.9350586
0.4725   735.8398438   304.8598633
0.4750   746.5515137   305.6976624
0.4775   757.9645386   306.7997131
