#   wl        direct       diffuse (W/m^2/mic)
0.2500     0.0000000     0.0000000
0.2525     0.0000000     0.0000000
0.2550     0.0000000     0.0000000
0.2575     0.0000000     0.0000000
0.2600     0.0000000     0.0000000
0.2625     0.0000000     0.0000000
0.2650     0.0000000     0.0000000
0.2675     0.0000000     0.0000000
0.2700     0.0000000     0.0000000
0.2725     0.0000000     0.0000000
0.2750     0.0000000     0.0000000
0.2775     0.0000000     0.0000000
0.2800     0.0000000     0.0000000
0.2825     0.0000000     0.0000000
0.2850     0.0000000     0.0000000
0.2875     0.0000000     0.0000000
0.2900     0.0000000     0.0000000
0.2925     0.0000403     0.0002150
0.2950     0.0019285     0.0095559
0.2975     0.0312484     0.1440575
0.3000     0.2576047     1.1074046
0.3025     1.2595741     5.0600162
0.3050     3.2830195    12.3498602
0.3075     7.6033716    26.8346939
0.3100    13.6246271    45.1979713
0.3125    24.3094635    75.9343796
0.3150    34.1624413   100.6492615
0.3175    47.3616333   131.8209229
0.3200    58.8677292   155.0237274
0.3225    73.4119034   183.1846924
0.3250    86.3531265   204.4631042
0.3275   102.0741730   229.6435089
0.3300   116.6300964   249.6401062
0.3325   122.7774277   250.3397675
0.3350   127.8703308   248.6627502
0.3375   137.8303833   255.9283295
0.3400   147.7678070   262.2830811
0.3425   150.8564606   256.2355347
0.3450   153.7317352   250.1359253
0.3475   163.7515564   255.4889679
0.3500   174.0873108   260.7062073
0.3525   185.3086548   266.6169128
0.3550   196.7604980   272.2295532
0.3575   193.3111725   257.4221497
0.3600   189.2241516   242.7348938
0.3625   215.1084137   266.0384216
0.3650   242.0357208   288.8371582
0.3675   253.5322876   292.1726074
0.3700   265.2422485   295.4055481
0.3725   252.7990875   272.3016357
0.3750   239.5015869   249.6912384
0.3775   258.8654175   261.3984680
0.3800   278.7599182   272.8351135
0.3825   255.6680145   242.7100830
0.3850   231.4204559   213.2301483
0.3875   264.9322815   237.0857239
0.3900   299.4452820   260.4318848
0.3925   275.2644043   232.8144531
0.3950   250.0212250   205.7745667
0.3975   348.9211731   284.4931641
0.4000   450.7988586   364.3377991
0.4025   462.6215515   364.4907837
0.4050   474.4966125   364.6575928
0.4075   489.9555664   367.7032776
0.4100   505.5616455   370.7208557
0.4125   524.1635132   375.7608032
0.4150   542.9797974   380.7460022
0.4175   539.8271484   370.4635010
0.4200   536.3106079   360.3912659
0.4225   539.2673950   355.1217651
0.4250   542.0378418   349.9765015
0.4275   517.3209839   327.4730835
0.4300   491.7777100   305.3554077
0.4325   539.9059448   329.0867615
0.4350   588.8638916   352.5093384
0.4375   600.1101685   352.9839783
0.4400   611.3662109   353.5046387
0.4425   641.3898315   364.9453735
0.4450   671.7850342   376.3070068
0.4475   700.6112671   386.3175354
0.4500   729.8099976   396.2980957
0.4525   729.8571167   390.5729370
0.4550   729.6013184   384.9329224
0.4575   738.9171753   384.3008118
0.4600   748.1872559   383.7432861
0.4625   748.7288818   379.2815247
0.4650   749.9275513   375.3466187
0.4675   751.3291016   371.5942383
0.4700   751.7945557   367.5600586
0.4725   763.2387695   369.1126404
0.4750   774.3342285   370.5567322
0.4775   786.1705933   372.3152161
